Bureau,Nom,LatLon,Adresse
609,Bureau 609 - Ecole Elémentaire Anquetil,"[49.2653701, 4.0233921]","23 rue Anquetil, 51100 Reims, 51100 Reims"
406,Bureau 406 - Ecole Elémentaire Martin Peller,"[49.2469729, 4.017670499999999]","14 rue Passe Demoiselles, 51100 Reims"
610,Bureau 610 - Salle Municipale Saint-Thierry,"[49.26531319999999, 4.0214371]","17 rue Saint Thierry, 51100 Reims"
303,Bureau 303 - Ecole Elémentaire Sculpteurs Jacques,"[49.2446029, 4.0088332]","15 rue des Sculpteurs Jacques, 51100 Reims"
611,Bureau 611 - Salle Municipale Saint-Thierry,"[49.26531319999999, 4.0214371]","17 rue Saint Thierry, 51100 Reims"
608,Bureau 608 - Salle Municipale Goulin,"[49.26773290000001, 4.025648299999999]","4 rue de la Neuvillette, 51100 Reims"
302,Bureau 302 - Ecole Elémentaire Sculpteurs Jacques,"[49.2446029, 4.0088332]","15 rue des Sculpteurs Jacques, 51100 Reims"
506,Bureau 506 - Ecole Maternelle Galliéni,"[49.2803234, 4.024693699999999]","6 rue Maréchal Galliéni, 51100 Reims"
715,Bureau 715 - Ecole Elémentaire Carteret,"[49.2588043, 4.0482059]","30 boulevard Carteret, 51100 Reims"
710,Bureau 710 - Ecole Elémentaire Dauphinot,"[49.2612551, 4.057214399999999]","43 boulevard Dauphinot, 51100 Reims"
607,Bureau 607 - Salle Municipale Goulin,"[49.26773290000001, 4.025648299999999]","4 rue de la Neuvillette, 51100 Reims"
909,Bureau 909 - Maison de la Vie Associative,"[49.2462753, 4.0414118]","9 rue Eugène Wiet, 51100 Reims"
703,Bureau 703 - Amicale Jamin,"[49.2643279, 4.044527299999999]","2 rue de Bétheny, 51100 Reims, 51100 Reims"
708,Bureau 708 - Ecole Maternelle Paul Bert,"[49.267666, 4.069099599999999]","2 rue de Sidi Bel Abbes, 51100 Reims, 51100 Reims"
716,Bureau 716 - Ecole Maternelle Général Carré,"[49.2558549, 4.057081999999999]","4ter rue du Général Carré, 51100 Reims"
717,Bureau 717 - Ecole Maternelle Général Carré,"[49.2558549, 4.057081999999999]","4ter rue du Général Carré, 51100 Reims"
