Bureau,Geo,Nom,Inscrits,Votants,Nuls,Blancs,Exprimé,ROSE,CORADEL,FRIGOUT,QUENARD,ROBINET,MURA,LANG
101,"[49.2584032, 4.0322568]",Bureau 101 - Le Cellier,1120,682,6,7,669,5,28,54,103,425,4,50
102,"[49.2584032, 4.0322568]",Bureau 102 - Le Cellier,1048,587,1,4,582,2,15,54,97,360,1,53
103,"[49.262635, 4.043785]",Bureau 103 - Ecole Maternelle Jamin,989,527,1,2,524,2,31,59,83,304,2,43
104,"[49.2528002, 4.0291176]",Bureau 104 - Salle d’Exposition,956,519,4,6,509,13,34,59,86,280,2,35
105,"[49.2499403, 4.0343544]",Bureau 105 - Ecole Maternelle Jard,974,475,3,5,467,4,21,87,104,204,2,45
106,"[49.2499403, 4.0343544]",Bureau 106 - Ecole Maternelle Jard,1119,596,0,11,585,4,42,66,131,279,3,60
107,"[49.2500619, 4.0356949]",Bureau 107 - Conservatoire à Rayonnement Régional,975,535,4,5,526,4,35,98,122,209,5,53
108,"[49.2500619, 4.0356949]",Bureau 108 - Conservatoire à Rayonnement Régional,850,508,4,2,502,4,30,56,117,223,5,67
109,"[49.2514951, 4.038408899999999]",Bureau 109 - Ecole Elémentaire Université,849,486,2,3,481,5,18,57,82,261,1,57
110,"[49.2541305, 4.0373635]",Bureau 110 - Ecole Maternelle Voltaire,1106,656,2,7,647,4,24,61,100,403,0,55
111,"[49.2539188, 4.0377481]",Bureau 111 - Ecole Elémentaire Voltaire,1216,708,4,10,694,5,25,92,99,416,1,56
112,"[49.2565163, 4.051881799999999]",Bureau 112 - Gymnase Endi Miyen,1108,678,10,8,660,8,34,112,126,320,6,54
113,"[49.2565163, 4.051881799999999]",Bureau 113 - Gymnase Barbusse,917,529,5,4,520,2,19,75,112,233,2,77
114,"[49.2488115, 4.051758599999999]",Bureau 114 - Ecole Maternelle Pommery,980,573,2,7,564,5,22,83,113,274,4,63
115,"[49.2488115, 4.051758599999999]",Bureau 115 - Ecole Maternelle Pommery,963,458,5,8,445,2,27,85,81,206,3,41
116,"[49.2488115, 4.051758599999999]",Bureau 116 - Ecole Maternelle Pommery,1075,630,5,4,621,6,18,82,96,338,1,80
201,"[49.2429603, 4.025175]",Bureau 201 - Complexe Sportif René Tys,583,335,3,2,330,5,25,53,64,142,0,41
202,"[49.2383312, 4.0202696]",Bureau 202 - Ecole Elémentaire Ravel,1280,351,4,3,344,10,85,43,60,106,23,17
203,"[49.2326787, 4.0261531]",Bureau 203 - Ecole Maternelle Docteur Roux,1065,335,3,2,330,9,50,79,57,108,5,22
204,"[49.2326787, 4.0261531]",Bureau 204 - Ecole Maternelle Docteur Roux,993,328,4,2,322,6,42,75,50,111,18,20
205,"[49.231831, 4.015381]",Bureau 205 - Ecole Elémentaire Maison Blanche,1035,462,3,5,454,14,29,164,80,139,4,24
206,"[49.2243991, 4.0205209]",Bureau 206 - Ecole Maternelle Jean D’Aulan,1050,403,2,4,397,13,23,165,40,131,9,16
207,"[49.2211233, 4.030653099999999]",Bureau 207 - Ecole Elémentaire Turenne,1002,569,3,7,559,7,24,135,104,246,6,37
208,"[49.2145558, 4.0254683]",Bureau 208 - Ecole Maternelle Mazarin,1080,498,5,4,489,7,25,111,103,213,5,25
209,"[49.2145558, 4.0254683]",Bureau 209 - Ecole Maternelle Mazarin,968,521,2,3,516,10,27,133,65,241,5,35
210,"[49.2104624, 4.025082400000001]",Bureau 210 - Ecole Elémentaire Sully,1010,421,6,0,415,6,20,119,68,169,3,30
211,"[49.2104624, 4.025082400000001]",Bureau 211 - Ecole Elémentaire Sully,801,364,4,8,352,6,24,101,41,143,7,30
212,"[49.2104624, 4.025082400000001]",Bureau 212 - Ecole Elémentaire Sully,816,404,4,1,399,6,22,77,81,187,8,18
301,"[49.2446029, 4.0088332]",Bureau 301 - Ecole Maternelle Sculpteurs Jacques,1116,463,1,2,460,9,39,94,82,192,6,38
302,"[49.2446029, 4.0088332]",Bureau 302 - Ecole Elémentaire Sculpteurs Jacques,894,484,1,3,480,6,15,88,100,206,1,64
